Page Name	Categories	Subcategories	Tags	Discription	UPC list	Part # list	Extra Info list	color
6800-MB	Bathroom Sink Drains, Special	Clicker Style	With Overflow, All Brass	NEW Matte Black Push and Lock (clicker) Pop-Up Sink Drain with overflow 	14308	6800MB	 - - - - - - - - - - - - - - - -,Matte Black	
Brass Clicker No Overflow	Bathroom Sink Drains	Clicker Style	No Overflow, All Brass	All Brass Push and Lock Sink Drain NO overflow   	10256,14239,14237,14309,80195,80196,80197	6840,6840SNPVD,6840ORB,6840MB,C6840,C6840SNPVD,C6840ORB	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel,Oil Rubbed Bronze,Matte Black,Chrome, Carded,Satin Nickel PVD, Carded,Oil Rubbed Bronze, Carded	
6840-MB	Bathroom Sink Drains, Special	Clicker Style	No Overflow, All Brass	NEW! Matte Black all Brass Push and Lock Sink Drain NO overflow   	14309	6840MB	 - - - - - - - - - - - - - - - -,Matte Black	
304 SS Clicker with Overflow	Bathroom Sink Drains	Clicker Style	With Overflow, All Brass	"Polished 304 Stainless Steel Push and Lock (clicker) Pop-Up Drain Sink Drain with overflow holes and 6"" tailpiece "	10282	7800	 - - - - - - - - - - - - - - - -, 304 Stainless Steel	
304 SS Clicker No Overflow	Bathroom Sink Drains	Clicker Style	All Brass, No Overflow	304 Stainless Steel Push and Lock Sink Drain NO overflow.  Looking for a grid drain? Check out the 7849.   	10284	7840	 - - - - - - - - - - - - - - - -,304 Stainless Steel	
304 SS Clad Top Plastic Clicker 	Bathroom Sink Drains	Clicker Style	With Overflow, Plastic	"Push and Lock (clicker) Sink Drain, Polished 304 Stainless Steel clad top and plunger.  Fits sinks with and without overflow. 6"" Long plastic tailpiece   "	10265	600CLB	 - - - - - - - - - - - - - - - -,Plastic with 304 Stainless Steel clad top and plunger	
Brass Flat Grid Drain With Overflow	Bathroom Sink Drains	Grid Drain	With Overflow	"All brass lavatory Grid Drain with overflow. Chrome plated, cast brass faceplate with flat design.  6"" 8"" or offset tailpieces available.  "	10027,10032,10028	6425,6426,6430	 - - - - - - - - - - - - - - - -,Chrome,Chrome, with an 8 inch tailpiece,Chrome, with an offset tailpiece	
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Lavatory Grid Drain, with overflow, with 6"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.    "	10130,10137,10288,10245,14103,14105,80239,10131,10132,14198,10299	6427,6429,6409,6427SSCP,6427PBRPVD,6427SN,C6427SN,6428,6432,6443,6439	  - - - - - - - - - - - - - - - -,Chrome,Chrome with large center hole,Chrome with removeable center,Chrome plated brass body, and stainless Steel face,Polished Brass,Satin Nickel,Satin Nickel, Carded,Chrome with a 8 inch tail piece,Chrome with offset tailpiece for wheelchair access,Chrome, with offset tailpiece, and large center hole.,Chrome with offset tailpiece, and removeable grid.	
"Brass Concave Grid Drain with Overflow 8"" Tailpiece"	Bathroom Sink Drains	Grid Drain	All Brass, With Overflow	"All Brass Lavatory Grid Drain, with overflow, with 8"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.    "	10131	6428	 - - - - - - - - - - - - - - - -,Chrome	
Brass Concave Grid Drain No Overflow	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	Lavatory Grid Drain NO overflow with a concave face to prevent standing water. Made with forged brass    	10133,14104,14106,14109,10135,10134,80237,80238	6440,6440PVD,6440SN,6440ORB,6444,6442,C6440,C6440SN	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Satin Nickel,Oil Rubbed Bronze,Chrome, Carded,Satin Nickel, Carded,Chrome, with offset tailpiece for wheelchair access,Chrome, with 8 inch tailpiece	
"Brass Concave Grid Drain No Overflow (8"" Tailpiece)"	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	"Sink or Lavatory grid drain with 8"" Tailpiece, and NO overflow. Forged brass face features concave design for positive drainage leaving no standing water.
 "	10134	6442	 - - - - - - - - - - - - - - - -,Chrome	
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Sink Drain with overflow Removable Center Grid for easy access. Forged brass face features concave design for positive drainage leaving no standing water. 9-Hole grid and 6"" Tail Piece   "	10288	6409	 - - - - - - - - - - - - - - - -,Chrome	
304 SS Grid Drain	Bathroom Sink Drains	Grid Drain	All Brass, With Overflow	"Polished 304 Stainless Steel Grid Drain with overflow holes and 6"" tailpiece.
Same as our 7800, but with the grid insert. "	10283	7809	 - - - - - - - - - - - - - - - -,304 Stainless Steel	
304 SS Grid Drain No Overflow	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	"Polished 304 Stainless Steel Grid Drain NO overflow with Removable Center Grid and 6"" Tailpiece.  Want it as a clicker? Check out the 7840.  "	10295	7849	 - - - - - - - - - - - - - - - -,Polished 304 Stainless Steel	
Brass Concave Grid Drain With Overflow and L tailpiece	Bathroom Sink Drains	Grid Drain	With Overflow	All brass Sink or Lavatory Grid Drain with Overflow Holes and Offset tailpiece for wheelchair accessibility   	10132,10299,14198	6432,6439,6443	 - - - - - - - - - - - - - - - -,Chrome,Chrome with removeable center grid,Chrome, with large center hole	
Brass Concave Grid Drain no Overflow and L tailpiece	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	Sink or Lavatory Grid Drain Forged Brass face with concave design to prevent standing water. NO overflow with Offset Tailpiece   	10135	6444	 - - - - - - - - - - - - - - - -,Chrome	
Brass Concave Grid Drain With Overflow and L tailpiece and removable center	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	All Brass Sink Drain Removable Center Grid Drain with overflow with offset tail piece for wheelchair access.  	10299	6439	 - - - - - - - - - - - - - - - -,Chrome	
Brass Lift & Turn No Overflow	Bathroom Sink Drains	Lift and Turn	No Overflow, All Brass	All Brass, Lift and Turn Sink Drain NO overflow   	14042,14044,14046,14040	6415,6415PBRPVD,6415SNPVD,64151	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Satin Nickel,Stopper	
Brass Lift & Turn With Overflow	Bathroom Sink Drains	Lift and Turn	All Brass, With Overflow	All brass, Lift and Turn Sink Drain with overflow   	14043,14045,14047	6417,6417PBRPVD,6417SNPVD	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Satin Nickel	
Utility Sink Drain No Overflow	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	All brass, laundry room sink drain, plug assembly with stopper, no overflow.     	14185	COP130	 - - - - - - - - - - - - - - - -,Chrome	
Utility Sink Drain With Overflow	Bathroom Sink Drains	Grid Drain	All Brass, With Overflow	All Brass, laundry room sink drain, plug assembly with stopper, with overflow.     	14186	POP131	 - - - - - - - - - - - - - - - -,Chrome	
Grid Drain Escutcheon Kit	Bathroom Sink Accessories	Kit	Escutchon	Escutcheon Dress-Up Kit fits grid drains, and lift and turn drains. (Drain sold separately)   	14050,14051,14052	6400,6400PVD,6400SNPVD	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass PVD,Satin Nickel PVD	
Shank Extension Kit	Bathroom Sink Accessories	Kit	Pop Up, Grid Drain	Extension Kit for bathroom sink drains, extends the shank by 1 1/4 inches.     	10248,10290,10291,80204,80205	GDX6000,GDX6010,630POPX,CGDX6000,C630POPX	 - - - - - - - - - - - - - - - -,For Grid Drains, fits to OD,For Grid Drains, Fits to ID,For Pop up Drains, fits to OD,Carded kit, for Grid Drains, fits to OD,Carded kit, for Pop up Drains, fits to OD	
Sink Drain Spacer	Bathroom Sink Accessories	Parts		Bathroom sink drain spacer for 600CL   	10287	600CL13	 - - - - - - - - - - - - - - - -,Spacer for 600CL	
Thread Conversion Tailpiece	Bathroom Sink Accessories	Parts		"Brass tailpiece converts standard grid drain from 1 1/4"" x 1 1/2"".  6"" 17 Gauge.    "	20142	TP2550	 - - - - - - - - - - - - - - - -,Chrome	
Decorative Drain Pipe Cover	Bathroom Sink Accessories, Glass Vessel Accessories	Parts		Polished Stainless Steel U-Shaped Decorative Cover for exposed pipes under commercial sinks   	14173	U8013	 - - - - - - - - - - - - - - - -,Polished Stainless Steel	
Lift Rod Extension Kit	Bathroom Sink Accessories	Parts	Pop Up Assembly	"Lift Rod Extension (up to 7"")   "	10207,80216	RX07,CRX07	 - - - - - - - - - - - - - - - -,Chrome,Chrome (Carded)	
3 Piece Popup Replacement Parts	Bathroom Sink Accessories	Parts	Pop Up Assembly	Parts for 6450 (chrome) and 6451 (Polished Brass) Series pop up drains   	10026,10065,10243,10070,10066,10176	64501,64502,645003,64508,64512PBRPVD,64518PBR	 - - - - - - - - - - - - - - - -,Hardware kit,Plunger,Replacement gasket,Top Flange,Plunger (Polished Brass),Top Flange (Polished Brass)	
Utility Sink Stopper	Bathroom Sink Accessories	Parts	Stopper	"Hollow Stopper 1-1/8"" with Ring, fits COP130, and POP131   "	20102	S81	 - - - - - - - - - - - - - - - -,Drain Stopper	
Replacement Clicker Assembly	Bathroom Sink Accessories	Pop Up	Parts	"All Brass Push and Lock (clicker) Pop-Up Stopper Assembly Replacement (for 6800 Pop-Up Drain) 
 "	10255,14240,14241	68001,68001SNPVD,68001ORB	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel PVD,Oil Rubbed Bronze	
"2 3/4"" Dome Stoppers"	Bathroom Sink Accessories	Parts, Clicker Style	Clicker Stopper	"Chrome plated all brass clicker style plunger with 2-3/4"" diameter round dome with bottom half plastic body, and fixed position plugs fits 7800, 6800 series. "	14264,14281,14265,14266,14280,14270,14271,14272	780070CP,780070PBRPVD,780070SNPVD,780070ORB,780070MB,780070CPF,780070SNPVDF,780070ORBF	 - - - - - - - - - - - - - - - -,Chrome,Polished Brass,Satin Nickel PVD,Oil Rubbed Bronze,Matte Black ,Fixed Position, Chrome,Fixed Position, Satin Nickel PVD,Fixed Position, Oil Rubbed Bronze	
Clicker Stoppers & Parts	Bathroom Sink Accessories	Parts, Grid Drain, Clicker Style		All the options for our 7800 series clicker drain in one place. Click through the 'color' options to see the parts listed above.   	10255,14240,14241,10297,10326,10327,10329,14267,14268,14269,14264,14281,14266,14280,14270,14272,14271,10252	68001,68001SNPVD,68001ORB,78001,780059SS,780059SN,780059ORB,78007070CP,78007070SNPVD,78007070ORB,780070CP,780070PBRPVD,780070ORB,780070MB,780070CPF,780070ORBF,780070SNPVDF,68005	" - - - - - - - - - - - - - - - -,Clicker Plunger (Stainless Steel),All Brass Clicker Plunger (Chrome),All Brass Clicker Plunger (Satin Nickel),All Brass Clicker Plunger (Oil Rubbed Bronze),59mm OD Clicker Plunger (Stainless Steel),59mm OD Clicker Plunger (Satin Nickel),59mm OD Clicker Plunger (Oil Rubbed Bronze),Square Clicker Plunger (Chrome),Square Clicker Plunger (Satin Nickel),Square Clicker Plunger (Oil Rubbed Bronze),2 3/4"" Round Dome Clicker Plunger (Chrome),2 3/4"" Round Dome Clicker Plunger (Polished Brass PVD),2 3/4"" Round Dome Clicker Plunger (Satin Nickel),2 3/4"" Round Dome Clicker Plunger (Oil Rubbed Bronze),2 3/4"" Round Dome Clicker Plunger (Matte Black),2 3/4"" Round Dome fixed position plug (Chrome),2 3/4"" Round Dome fixed position plug (Oil Rubbed Bronze),2 3/4"" Round Dome fixed position plug (Satin Nickel),Plunger Seal"	
Lock Nut	Bathroom Sink Accessories	Parts	Grid Drain	Lock nut for grid drains. Fits all 6400 series grid drains 	25104	A002504	 - - - - - - - - - - - - - - - -,Lock nut	
7800-70-MB	Special, Bathroom Sink Accessories	Parts, Clicker Style	Clicker Stopper	"NEW! Matte Black all brass clicker style plunger with 2-3/4"" diameter round dome with bottom half plastic body "	14280	780070MB	 - - - - - - - - - - - - - - - -,Matte Black 	
59mm Domed Clicker Plunger	Bathroom Sink Accessories	Parts		Oil rubbed bronze decorative Clicker Plunger with 59mm OD dome top   	10326,10327,10329,80233,80234,80236	780059SS,780059SN,780059ORB,C780059SS,C780059SN,C780059ORB	 - - - - - - - - - - - - - - - -,Stainless Steel,Satin Nickel,Oil Rubbed Bronze,Stainless Steel, Carded,Satin Nickel, Carded,Oil Rubbed Bronze, Carded	
Square Clicker Plunger	Bathroom Sink Accessories	Parts		"2-3/4"" Chrome plated top / Brass body Square Clicker Plunger fits 7800 or 6800 series Pop-up Drains   "	14267,14268,14269	78007070CP,78007070SNPVD,78007070ORB	 - - - - - - - - - - - - - - - -,Chrome,Satin Nickel PVD,Oil Rubbed Bronze	
Grid Drain Conversion Insert	Bathroom Sink Accessories	Parts	Grid Drain	Polished Stainless Steel Center Grid Drain Replacement Cap for 7809 & 7849.  Fits 7800 series drains.  	10286	600CL11	 - - - - - - - - - - - - - - - -,Polished Stainless Steel 	
Grid Drain Replacement Insert	Bathroom Sink Accessories	Parts, Grid Drain		Chrome plated 9-Hole Grid Drain Replacement Center Insert (O-Ring included)    	10289	64091	 - - - - - - - - - - - - - - - -,Replacement Center for the 6409	
Popup Plungers	Bathroom Sink Accessories	Parts	Pop Up Assembly	"Plunger for various pop up drains  
 "	-----,10059,10051,10044,10052,10056,10053,10054,10043,10270,10212,10055	====,630016CP,600B28,620004,620056,620058CP,620070,620070PBR,620070PBRPVD,620070SNPVDP,620070ORB,620070PW	 - - - - - - - - Fits - - - - - - - -, ,600S, 600S2,630D1, ,630D2, ,630B3PBRPVD,630B8SNPVD, 630B3SNPVD,630B3ORB,630D4W, 620A05, Moen	
Popup Plunger Seal	Bathroom Sink Accessories	Parts	Pop Up Assembly	Plunger Seal   	-----,10096,10074	====,600008,620002	 - - - - - - - - Fits - - - - - - - -,600S, 600S2,,630D1, 630D2, 630D4W, 630DS4W	
Popup Waste Seat	Bathroom Sink Accessories	Parts	No Overflow, Pop Up, With Overflow	Waste Seat for Popup Drains.  Converts overflow types.    	-----,10080,10081,10041,10082,10067,10039,10038	====,620016,620016PBR,620016PBRPVD,620016W,620082,620082PBR,620082PBRPVD	 - - - - - - - - Fits - - - - - - - -,630D1, 630D2, 630E1, , ,630D4W, 630DS4W,630D1, 630D2, 6300E1, 630E2, ,630B8PBRPVD, (Requires 6200-51)	
Popup Foam Washer	Bathroom Sink Accessories	Parts	Pop Up Assembly	Foam Washer  	-----,10087,10071	====,620039,600029	 - - - - - - - - Fits - - - - - - - -,630D1, 10003, 630D2, 10004, 630D4W, 10006, 630DS4W, 10009,630E2, 10011, 630E8, 10036,, 	
Popup Rubber Gasket	Bathroom Sink Accessories	Parts	Pop Up Assembly	Rubber Gasket  	-----,10242,10099,10090	====,600B05,600B30,620B02	 - - - - - - - - Fits - - - - - - - -, ,600S, 600S2,630D1, 630D2, 630D4W, 630DS4W, 630E2, 630E1, 630E8	
Popup Metal Washer	Bathroom Sink Accessories	Parts	Pop Up Assembly	Metal Washer with retainer Lip  	====,10089,10045,10047	====,620085,620051,620A05	 - - - - - - - - Fits - - - - - - - -,630E2, 630E1, 630E8, 630D1, 630D2, 630D4W, 630DS4W,620082, 620082PBR, 620082PBRPVD,600S, 600S2,	
Popup Mounting Nut	Bathroom Sink Accessories	Parts	Pop Up Assembly	Mounting Nut  	====,10097,10091,10098	====,600B06,620B04,600B06A	 - - - - - - - - Fits - - - - - - - -,600S, 600S2,630D1, 630D2, 630D4W, 630DS4W, 630E2, 630E1, 630E8,, 	
Popup Seal Washer	Bathroom Sink Accessories	Parts	Pop Up Assembly	Seal Washer  	====,10095	====,630028	 - - - - - - - - Fits - - - - - - - -, 630D1, 630D2, 630D4W, 630DS4W, 630E2, 630E1, 630E8	
Popup Tail Piece Assembly	Bathroom Sink Accessories	Parts	Pop Up Assembly	Tail Piece Assembly for Popup drains.  	====,10048,10182,10069	====,620069,630024A,630026	 - - - - - - - - Fits - - - - - - - -,630D1, 630D2, 630D4W, 630DS4W,630E2, 630E1, 630E8,630E2, 630E1, 630E8	
Popup Pivot Rod	Bathroom Sink Accessories	Parts	Pop Up Assembly	Pivot Rod Assembly  	====,10073,10075,10093	====,600K03,620010,630013	 - - - - - - - - Fits - - - - - - - -,600S, 600S2,630D1, 630D2, 630D4W, 630DS4W,630E2, 630E1, 630E8	
Popup Pivot Seal	Bathroom Sink Accessories	Parts	Pop Up Assembly	Pivot Seal  	====,10076,10094	====,620011,630027	 - - - - - - - - Fits - - - - - - - -, 630D1, 630D2, 630D4W, 630DS4W,630E2, 630E1, 630E8	
Popup Pivot Nut	Bathroom Sink Accessories	Parts	Pop Up Assembly	Pivot Nut  	====,10072,10040,10092	====,600B07,620012,630009	 - - - - - - - - Fits - - - - - - - -,600S, 600S2, 630D1, 630D2, 630D4W, 630DS4W,Moen,630E2, 630E1, 630E8	
Popup Pivot Nut Seal	Bathroom Sink Accessories	Parts	Pop Up Assembly	Pivot nut seal.  	====,10088	====,620071	 - - - - - - - - - - - - - - - -,630D1, 630D2, 630D4W, 630DS4W	
Popup Spring Clamp	Bathroom Sink Accessories	Parts	Pop Up Assembly	Spring Clamp   	====,10079	====,620015	 - - - - - - - - Fits - - - - - - - -,All Popups	
Popup Drain Rod Strap	Bathroom Sink Accessories	Parts	Pop Up Assembly	Drain Rod Strap   	====,10077	====,620013	 - - - - - - - - Fits - - - - - - - -,All Popups	
Popup Thumb Screw	Bathroom Sink Accessories	Parts	Pop Up Assembly	Thumb Screw   	====,10078	====,620014	 - - - - - - - - - - - - - - - -,All Popups	
Popup Lift Rod & Knob	Bathroom Sink Accessories	Parts	Pop Up Assembly	Lift Rod & Knob Assembly   	====,10083,10085,10042,10258,10086	====,620025,620029PBR,620029PBRPVD,620029SN,620029W	 - - - - - - - - Fits - - - - - - - -, Chrome,Satin Nickel, Polished Brass,Polished Brass PVD,White	
Plastic Economy	Shower Heads	Single Function	1.8 GPM, Plastic	"Chrome plated all plastic Economy Shower Head with swivel ball joint and 2"" diameter face   "	20111	S100B	 - - - - - - - - - - - - - - - -,Chrome	
Plastic with Brass Ball Joint	Shower Heads	Adjustable Spray	1.8 GPM, Plastic	Chrome plated Plastic Shower Head, with adjustable spray angle, Brass Ball joint, and black face plate. 	12111	S101	 - - - - - - - - - - - - - - - -,Chrome	
Plastic Single Function	Shower Heads	Single Function	2.5 GPM, Plastic	Chrome Plated Plastic Shower head, Single Function, with black spray face connector nut. 	12118	S103	 - - - - - - - - - - - - - - - -,Chrome	
Plastic with Massaging Spray	Shower Heads	Adjustable Spray	1.8 GPM, Massage, Plastic	Chrome plated Plastic Shower Head, with adjustable massage Function, all brass ball joint, and black face plate. 	11055	S115	- - - - - - - - - - - - - - - -,Chrome	
Plastic with Adjustable Spray	Shower Heads	Adjustable Spray	1.5 GPM, Plastic	White and clear plastic Shower, adjustable spray angle, Water Sense Certified, with Brass ball joint  	11111	S116	- - - - - - - - - - - - - - - -,White	
Plastic With Watersaving Air Intake	Shower Heads	Single Function	Plastic, 1.75 GPM	Plastic shower head, with water saving air intake feature, brass ball joint and clog resistant face plate. 	11107,11112	S117,S117W	- - - - - - - - - - - - - - - -,Chrome,White	
Plastic with Duo Function Spray	Shower Heads	Adjustable Spray	1.5 GPM, Massage, Plastic	Chrome plated plastic shower head, Duo Function spray, all brass ball joint, and Water Sense Certification. 	11108	S118	- - - - - - - - - - - - - - - -,Chrome	
Plastic 5 Function	Shower Heads	Adjustable Spray	5 Function, 2.0 GPM	Chrome plated plastic shower head, 5 spray functions, with brass ball joint and black faceplate.  	11100,80163	S152,CS152	- - - - - - - - - - - - - - - -,Chrome,Chrome, Carded	
Plastic With Water-saving Air Intake	Shower Heads	Single Function	Plastic, Water Saving, 1.75 GPM	Chrome plated plastic showerhead, water waving with air intake feature, with brass ball joint and clog resistant faceplate. 	11106	S175	- - - - - - - - - - - - - - - -,Chrome	
Plastic Clog Resistant	Shower Heads	Single Function	1.8 GPM, Clog Resistant, Plastic	Chrome plated plastic Shower, with Brass Ball Joint, and black face plate with clog resistant nozzles.  	11037	S187	 - - - - - - - - - - - - - - - -,Chrome	
Plastic Clog Resistant with replaceable Faceplates	Shower Heads	Single Function	2.5 GPM, Clog Resistant	 Plastic Shower Head, single function, with brass ball joint, and replaceable clog resistant faceplates.  S188-03W for white, S188-03A for chrome. 	11153,11155,11157,11162	S168,S168W,S168BW,S168CW	- - - - - - - - - - - - - - - -,Chrome,White,White, Flower Shaped,White	
All Brass Clog Resistant With Replaceable Faceplates	Shower Heads	Single Function	1.8 GPM, Clog Resistant	All Brass showerhead in different finishes. Single function, with brass ball joint, and replaceable clog resistant faceplate.  See 'S188 Parts' for faceplates and other replacement parts.	11040,11051,11041,11053,11135,11044,11046,11047,11048,11043,14304,80034,80035,80207,80040,80041	S188,S188M,S188PBRPVD,S188SNPVD,S188ORB,S188GG,S188CPBRPVD,S188WPBRPVD,S188BPBRPVD,S188WG,S188MB,CS188,CS188PBRPVD,CS188ORB,CS188SNPVD,CS188CPBRPVD	 - - - - - - - - - - - - - - - -,Chrome,Chrome, Modern Design,Polished Brass PVD,Satin Nickel PVD,Oil Rubbed Bronze,Gold,Chrome & Polished Brass PVD,White & Polished Brass PVD,Black & Polished Brass PVD,Chrome & Gold,White & Gold,Matte Black,Chrome, Carded,Polished Brass PVD, Carded,Satin Nickel PVD, Carded,Oil Rubbed Bronze, Carded,Chrome & Polished Brass PVD, Carded	
S188-MB	Shower Heads, Special	Single Function	1.8 GPM, Clog Resistant	NEW! Matte Black all Brass shower head! Single function, with brass ball joint, and replaceable clog resistant faceplate. 	14304	S188MB	 - - - - - - - - - - - - - - - -,Matte Black	
S188 Faceplates & Rings	Shower Heads	Parts	1.5 GPM, Clog Resistant	Replacement parts that fit our S188 series showerheads.    	11113,11039,11114,14079,14066	S18803A,S1881,S18803W,S188R,S188MR	 - - - - - - - - - - - - - - - -,Charcoal face plate with light gray tips,Black faceplate with blue tips,White faceplate with blue tips,Replacement Normal Ring,Replacement Modified Ring	
All Brass With Flow Control	Shower Heads	Single Function	1.8 GPM, All Brass, Flow Control	"Chrome plated all brass shower head, featuring flow control button and swivel action ball joint.
 "	11011,11012,11013,11010,20170	S383,S385,S387,S382,S3870	 - - - - - - - - - - - - - - - -,Chrome,Chrome,Chrome,Chrome, no flow control,Washer	
Brass Body Adjustable Spray	Shower Heads	Adjustable Spray	1.8 GPM, Economy, Adjustable Spray	"Chrome plated brass body, adjustable spray pattern, with brass ball joint and white 2"" plastic faceplate.  "	11000	S180	- - - - - - - - - - - - - - - -,Chrome	
"1-3/4"" Diameter All Brass Adjustable Spray"	Shower Heads	Adjustable Spray	"1.8 GPM, 1.75""D"	"Chrome plated all brass shower head, adjustable spray with T or L handle, brass ball joint, and 1-3/4"" diameter face. "	11001,11002	S181,S181A	- - - - - - - - - - - - - - - -,Chrome, T-Handle,Chrome, L-Handle	
