Page Name	Categories	Subcategories	Tags	Discription	UPC	Part #	Extra Info
NEW MATTE BLACK ITEMS	Special			"New Matte Black Items!!! Available end of July!!! 

For more info on each item, search it's UPC to find the 'main page'. 
Click on the black 'color squares' to see images of each item.  "	80248	CTD3000MB	80248 - Tub Drain Kit, 1 hole
NEW MATTE BLACK ITEMS	Special			"New Matte Black Items!!! Available end of July!!! 

For more info on each item, search it's UPC to find the 'main page'. 
Click on the black 'color squares' to see images of each item.  "	80249	CTD3200MB	80249 - Tub Drain Kit, 2 hole
NEW MATTE BLACK ITEMS	Special			"New Matte Black Items!!! Available end of July!!! 

For more info on each item, search it's UPC to find the 'main page'. 
Click on the black 'color squares' to see images of each item.  "	14305	090NMB	"14305 - 6"" shower Arm & Flange"
NEW MATTE BLACK ITEMS	Special			"New Matte Black Items!!! Available end of July!!! 

For more info on each item, search it's UPC to find the 'main page'. 
Click on the black 'color squares' to see images of each item.  "	14304	S188MB	14304 - Shower head, single function
Plastic Popup With Overflow	Bathroom Sink Drains	Pop Up	With Overflow, Plastic	One piece plastic sink drain, Pop-Up Drain with Overflow. Easy Assembly, with Stainless Steel clad waste seat and plunger comes complete with lift rod and linkage. 	10002	600S	Plastic, with Stainless Steel Clad Top & Plunger
SS Clad Top Plastic Popup No Overflow	Bathroom Sink Drains	Pop Up	No Overflow, Plastic	Plastic Sink Drain single piece Pop-Up Drain without Overflow Easy Assembly with  with Stainless Steel clad waste seat and plunger, comes complete with lift rod and linkage.	10000	600S2	Plastic with Stainless Steel Clad Top & Plunger
304 SS Clad Top Plastic Popup 	Bathroom Sink Drains	Pop Up	With Overflow, Plastic	"Push and Lock (clicker) Sink Drain, Polished 304 Stainless Steel clad top and plunger.  Fits sinks with and without overflow. 6"" Long plastic tailpiece,  comes complete with lift rod and linkage. "	10265	600CLB	Plastic with 304 Stainless Steel clad top and plunger
1/2 x 1/2 Popup with Overflow	Bathroom Sink Drains	Pop Up	With Overflow, Two Piece, Half & Half	2 piece brass top, plastic bottom, Pop-Up Sink Drain with Overflow comes complete with lift rod and linkage. 	10003	630D1	Chrome Seat, SS clad Plunger
1/2 x 1/2 Popup with Overflow	Bathroom Sink Drains	Pop Up	With Overflow, Two Piece, Half & Half	2 piece brass top, plastic bottom, Pop-Up Sink Drain with Overflow comes complete with lift rod and linkage. 	10004	630D2	Chrome
1/2 x 1/2 Popup with Overflow	Bathroom Sink Drains	Pop Up	With Overflow, Two Piece, Half & Half	2 piece brass top, plastic bottom, Pop-Up Sink Drain with Overflow comes complete with lift rod and linkage. 	10006	630D4W	White
1/2 x 1/2 Popup with Overflow	Bathroom Sink Drains	Pop Up	With Overflow, Two Piece, Half & Half	2 piece brass top, plastic bottom, Pop-Up Sink Drain with Overflow comes complete with lift rod and linkage. 	10009	630DS4W	Solid brass stopper, White
Brass Pop Up with Overflow	Bathroom Sink Drains	Pop Up	Carded, With Overflow, Free Rotateing Connector Nut, All Brass	All brass Pop-Up Sink Drain with overflow and tailpiece with free rotating connector nut.  Comes complete with lift rod and linkage. 	10011	630E2	Chrome
Brass Pop Up with Overflow	Bathroom Sink Drains	Pop Up	Carded, With Overflow, Free Rotateing Connector Nut, All Brass	All brass Pop-Up Sink Drain with overflow and tailpiece with free rotating connector nut.  Comes complete with lift rod and linkage. 	10010	630E1	Chrome plated brass with, Stainless Steel Clad Plunger
Brass Pop Up with Overflow	Bathroom Sink Drains	Pop Up	Carded, With Overflow, Free Rotateing Connector Nut, All Brass	All brass Pop-Up Sink Drain with overflow and tailpiece with free rotating connector nut.  Comes complete with lift rod and linkage. 	10030	630B3PBRPVD	Polished Brass PVD
Brass Pop Up with Overflow	Bathroom Sink Drains	Pop Up	Carded, With Overflow, Free Rotateing Connector Nut, All Brass	All brass Pop-Up Sink Drain with overflow and tailpiece with free rotating connector nut.  Comes complete with lift rod and linkage. 	10210	630B3SNPVD	Satin Nickel
Brass Pop Up with Overflow	Bathroom Sink Drains	Pop Up	Carded, With Overflow, Free Rotateing Connector Nut, All Brass	All brass Pop-Up Sink Drain with overflow and tailpiece with free rotating connector nut.  Comes complete with lift rod and linkage. 	14048	630B3ORB	Oil Rubbed Bronze
Brass Pop Up with Overflow	Bathroom Sink Drains	Pop Up	Carded, With Overflow, Free Rotateing Connector Nut, All Brass	All brass Pop-Up Sink Drain with overflow and tailpiece with free rotating connector nut.  Comes complete with lift rod and linkage. 	80188	C630E1	Chrome, Carded
Brass Pop Up with Overflow	Bathroom Sink Drains	Pop Up	Carded, With Overflow, Free Rotateing Connector Nut, All Brass	All brass Pop-Up Sink Drain with overflow and tailpiece with free rotating connector nut.  Comes complete with lift rod and linkage. 	80184	C630B3PBRPVD	Polished Brass PVD, Carded
Brass Pop Up with Overflow	Bathroom Sink Drains	Pop Up	Carded, With Overflow, Free Rotateing Connector Nut, All Brass	All brass Pop-Up Sink Drain with overflow and tailpiece with free rotating connector nut.  Comes complete with lift rod and linkage. 	80182	C630B3SN	Satin Nickel, Carded
Brass Pop Up No Overflow	Bathroom Sink Drains	Pop Up	No Overflow, Two Piece, Free Rotateing Connector Nut, All Brass	2 piece all brass pop-up Sink Drain, NO overflow, features tailpiece with free rotating connector nut, comes complete with lift rod and linkage. 	10036	630E8	Chrome
Brass Pop Up No Overflow	Bathroom Sink Drains	Pop Up	No Overflow, Two Piece, Free Rotateing Connector Nut, All Brass	2 piece all brass pop-up Sink Drain, NO overflow, features tailpiece with free rotating connector nut, comes complete with lift rod and linkage. 	10037	630B8PBRPVD	Polished Brass PVD
Brass Pop Up No Overflow	Bathroom Sink Drains	Pop Up	No Overflow, Two Piece, Free Rotateing Connector Nut, All Brass	2 piece all brass pop-up Sink Drain, NO overflow, features tailpiece with free rotating connector nut, comes complete with lift rod and linkage. 	10211	630B8SNPVD	Satin Nickel PVD
Brass Pop Up No Overflow	Bathroom Sink Drains	Pop Up	No Overflow, Two Piece, Free Rotateing Connector Nut, All Brass	2 piece all brass pop-up Sink Drain, NO overflow, features tailpiece with free rotating connector nut, comes complete with lift rod and linkage. 	14049	630B8ORB	Oil Rubbed Bronze
Brass Pop Up No Overflow	Bathroom Sink Drains	Pop Up	No Overflow, Two Piece, Free Rotateing Connector Nut, All Brass	2 piece all brass pop-up Sink Drain, NO overflow, features tailpiece with free rotating connector nut, comes complete with lift rod and linkage. 	80178	C630B8SNPVD	Satin Nickel (PVD), Carded
Brass Pop Up No Overflow	Bathroom Sink Drains	Pop Up	No Overflow, Two Piece, Free Rotateing Connector Nut, All Brass	2 piece all brass pop-up Sink Drain, NO overflow, features tailpiece with free rotating connector nut, comes complete with lift rod and linkage. 	80179	C630B8PBRPVD	Polished Brass (PVD), Carded
Brass Pop Up No Overflow	Bathroom Sink Drains	Pop Up	No Overflow, Two Piece, Free Rotateing Connector Nut, All Brass	2 piece all brass pop-up Sink Drain, NO overflow, features tailpiece with free rotating connector nut, comes complete with lift rod and linkage. 	80172	C630B8ORB	Oil Rubbed Bronze, Carded
3 Piece Brass Pop Up	Bathroom Sink Drains	Pop Up	Three Piece, All Brass	All Brass 3 piece Pop-Up Sink Drain with Cast Brass Center Section (No CSA) comes complete with lift rod and linkage.  	10024	6450	Chrome
3 Piece Brass Pop Up	Bathroom Sink Drains	Pop Up	Three Piece, All Brass	All Brass 3 piece Pop-Up Sink Drain with Cast Brass Center Section (No CSA) comes complete with lift rod and linkage.  	10025	6451PBRPVD	Polished Brass PVD
3 Piece Brass Pop Up	Bathroom Sink Drains	Pop Up	Three Piece, All Brass	All Brass 3 piece Pop-Up Sink Drain with Cast Brass Center Section (No CSA) comes complete with lift rod and linkage.  	80191	C6450	Chrome Carded
Heavy Duty Brass Popup	Bathroom Sink Drains	Pop Up	No Overflow, All Brass	All Brass Super Heavy Duty All Brass Pop-Up Sink Drain NO overflow, comes complete with lift rod and linkage. 	10240	7740	Chrome
Heavy Duty Brass Popup	Bathroom Sink Drains	Pop Up	No Overflow, All Brass	All Brass Super Heavy Duty All Brass Pop-Up Sink Drain NO overflow, comes complete with lift rod and linkage. 	10241	7740SNPVD	Satin Nickel
Brass Clicker With Overflow	Bathroom Sink Drains	Clicker Style	With Overflow, All Brass	Push and Lock (clicker) Pop-Up Sink Drain with overflow   	10254	6800	Chrome
Brass Clicker With Overflow	Bathroom Sink Drains	Clicker Style	With Overflow, All Brass	Push and Lock (clicker) Pop-Up Sink Drain with overflow   	14238	6800SNPVD	Satin Nickel
Brass Clicker With Overflow	Bathroom Sink Drains	Clicker Style	With Overflow, All Brass	Push and Lock (clicker) Pop-Up Sink Drain with overflow   	14236	6800ORB	Oil Rubbed Bronze
Brass Clicker With Overflow	Bathroom Sink Drains	Clicker Style	With Overflow, All Brass	Push and Lock (clicker) Pop-Up Sink Drain with overflow   	14308	6800MB	Matte Black
Brass Clicker With Overflow	Bathroom Sink Drains	Clicker Style	With Overflow, All Brass	Push and Lock (clicker) Pop-Up Sink Drain with overflow   	80194	C6800	Chrome, Carded
Brass Clicker With Overflow	Bathroom Sink Drains	Clicker Style	With Overflow, All Brass	Push and Lock (clicker) Pop-Up Sink Drain with overflow   	80193	C6800SNPVD	Satin Nickel PVD, Carded
Brass Clicker With Overflow	Bathroom Sink Drains	Clicker Style	With Overflow, All Brass	Push and Lock (clicker) Pop-Up Sink Drain with overflow   	80192	C6800ORB	Oil Rubbed Bronze, Carded
6800-MB	Bathroom Sink Drains, Special	Clicker Style	With Overflow, All Brass	NEW Matte Black Push and Lock (clicker) Pop-Up Sink Drain with overflow	14308	6800MB	Matte Black
Brass Clicker No Overflow	Bathroom Sink Drains	Clicker Style	No Overflow, All Brass	All Brass Push and Lock Sink Drain NO overflow  	10256	6840	Chrome
Brass Clicker No Overflow	Bathroom Sink Drains	Clicker Style	No Overflow, All Brass	All Brass Push and Lock Sink Drain NO overflow  	14239	6840SNPVD	Satin Nickel
Brass Clicker No Overflow	Bathroom Sink Drains	Clicker Style	No Overflow, All Brass	All Brass Push and Lock Sink Drain NO overflow  	14237	6840ORB	Oil Rubbed Bronze
Brass Clicker No Overflow	Bathroom Sink Drains	Clicker Style	No Overflow, All Brass	All Brass Push and Lock Sink Drain NO overflow  	14309	6840MB	Matte Black
Brass Clicker No Overflow	Bathroom Sink Drains	Clicker Style	No Overflow, All Brass	All Brass Push and Lock Sink Drain NO overflow  	80195	C6840	Chrome, Carded
Brass Clicker No Overflow	Bathroom Sink Drains	Clicker Style	No Overflow, All Brass	All Brass Push and Lock Sink Drain NO overflow  	80196	C6840SNPVD	Satin Nickel PVD, Carded
Brass Clicker No Overflow	Bathroom Sink Drains	Clicker Style	No Overflow, All Brass	All Brass Push and Lock Sink Drain NO overflow  	80197	C6840ORB	Oil Rubbed Bronze, Carded
6840-MB	Bathroom Sink Drains, Special	Clicker Style	No Overflow, All Brass	NEW! Matte Black all Brass Push and Lock Sink Drain NO overflow  	14309	6840MB	Matte Black
304 SS Clicker with Overflow	Bathroom Sink Drains	Clicker Style	With Overflow, All Brass	"Polished 304 Stainless Steel Push and Lock (clicker) Pop-Up Drain Sink Drain with overflow holes and 6"" tailpiece "	10282	7800	 304 Stainless Steel
304 SS Clicker No Overflow	Bathroom Sink Drains	Clicker Style	All Brass, No Overflow	304 Stainless Steel Push and Lock Sink Drain NO overflow.  Looking for a grid drain? Check out the 7849.  	10284	7840	304 Stainless Steel
304 SS Clad Top Plastic Clicker 	Bathroom Sink Drains	Clicker Style	With Overflow, Plastic	"Push and Lock (clicker) Sink Drain, Polished 304 Stainless Steel clad top and plunger.  Fits sinks with and without overflow. 6"" Long plastic tailpiece  "	10265	600CLB	Plastic with 304 Stainless Steel clad top and plunger
Brass Flat Grid Drain With Overflow	Bathroom Sink Drains	Grid Drain	With Overflow	"All brass lavatory Grid Drain with overflow. Chrome plated, cast brass faceplate with flat design.  6"" 8"" or offset tailpieces available. "	10027	6425	Chrome
Brass Flat Grid Drain With Overflow	Bathroom Sink Drains	Grid Drain	With Overflow	"All brass lavatory Grid Drain with overflow. Chrome plated, cast brass faceplate with flat design.  6"" 8"" or offset tailpieces available. "	10032	6426	Chrome, with an 8 inch tailpiece
Brass Flat Grid Drain With Overflow	Bathroom Sink Drains	Grid Drain	With Overflow	"All brass lavatory Grid Drain with overflow. Chrome plated, cast brass faceplate with flat design.  6"" 8"" or offset tailpieces available. "	10028	6430	Chrome, with an offset tailpiece
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Lavatory Grid Drain, with overflow, with 6"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.   "	10130	6427	Chrome
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Lavatory Grid Drain, with overflow, with 6"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.   "	10137	6429	Chrome with large center hole
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Lavatory Grid Drain, with overflow, with 6"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.   "	10288	6409	Chrome with removeable center
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Lavatory Grid Drain, with overflow, with 6"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.   "	10245	6427SSCP	Chrome plated brass body, and stainless Steel face
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Lavatory Grid Drain, with overflow, with 6"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.   "	14103	6427PBRPVD	Polished Brass
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Lavatory Grid Drain, with overflow, with 6"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.   "	14105	6427SN	Satin Nickel
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Lavatory Grid Drain, with overflow, with 6"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.   "	80239	C6427SN	Satin Nickel, Carded
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Lavatory Grid Drain, with overflow, with 6"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.   "	10131	6428	Chrome with a 8 inch tail piece
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Lavatory Grid Drain, with overflow, with 6"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.   "	10132	6432	Chrome with offset tailpiece for wheelchair access
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Lavatory Grid Drain, with overflow, with 6"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.   "	14198	6443	Chrome, with offset tailpiece, and large center hole.
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Lavatory Grid Drain, with overflow, with 6"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.   "	10299	6439	Chrome with offset tailpiece, and removeable grid.
"Brass Concave Grid Drain with Overflow 8"" Tailpiece"	Bathroom Sink Drains	Grid Drain	All Brass, With Overflow	"All Brass Lavatory Grid Drain, with overflow, with 8"" Length / 17ga. Tailpiece.  Forged brass face features concave design for positive drainage leaving no standing water.   "	10131	6428	Chrome
Brass Concave Grid Drain No Overflow	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	Lavatory Grid Drain NO overflow with a concave face to prevent standing water. Made with forged brass   	10133	6440	Chrome
Brass Concave Grid Drain No Overflow	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	Lavatory Grid Drain NO overflow with a concave face to prevent standing water. Made with forged brass   	14104	6440PVD	Polished Brass
Brass Concave Grid Drain No Overflow	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	Lavatory Grid Drain NO overflow with a concave face to prevent standing water. Made with forged brass   	14106	6440SN	Satin Nickel
Brass Concave Grid Drain No Overflow	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	Lavatory Grid Drain NO overflow with a concave face to prevent standing water. Made with forged brass   	14109	6440ORB	Oil Rubbed Bronze
Brass Concave Grid Drain No Overflow	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	Lavatory Grid Drain NO overflow with a concave face to prevent standing water. Made with forged brass   	10135	6444	Chrome, with offset tailpiece for wheelchair access
Brass Concave Grid Drain No Overflow	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	Lavatory Grid Drain NO overflow with a concave face to prevent standing water. Made with forged brass   	10134	6442	Chrome, with 8 inch tailpiece
Brass Concave Grid Drain No Overflow	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	Lavatory Grid Drain NO overflow with a concave face to prevent standing water. Made with forged brass   	80237	C6440	Chrome, Carded
Brass Concave Grid Drain No Overflow	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	Lavatory Grid Drain NO overflow with a concave face to prevent standing water. Made with forged brass   	80238	C6440SN	Satin Nickel, Carded
"Brass Concave Grid Drain No Overflow (8"" Tailpiece)"	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	"Sink or Lavatory grid drain with 8"" Tailpiece, and NO overflow. Forged brass face features concave design for positive drainage leaving no standing water.
"	10134	6442	Chrome
Brass Concave Grid Drain with Overflow	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	"All Brass Sink Drain with overflow Removable Center Grid for easy access. Forged brass face features concave design for positive drainage leaving no standing water. 9-Hole grid and 6"" Tail Piece  "	10288	6409	Chrome
304 SS Grid Drain	Bathroom Sink Drains	Grid Drain	All Brass, With Overflow	"Polished 304 Stainless Steel Grid Drain with overflow holes and 6"" tailpiece.
Same as our 7800, but with the grid insert. "	10283	7809	304 Stainless Steel
304 SS Grid Drain No Overflow	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	"Polished 304 Stainless Steel Grid Drain NO overflow with Removable Center Grid and 6"" Tailpiece.  Want it as a clicker? Check out the 7840. "	10295	7849	Polished 304 Stainless Steel
Brass Concave Grid Drain With Overflow and L tailpiece	Bathroom Sink Drains	Grid Drain	With Overflow	All brass Sink or Lavatory Grid Drain with Overflow Holes and Offset tailpiece for wheelchair accessibility  	10132	6432	Chrome
Brass Concave Grid Drain With Overflow and L tailpiece	Bathroom Sink Drains	Grid Drain	With Overflow	All brass Sink or Lavatory Grid Drain with Overflow Holes and Offset tailpiece for wheelchair accessibility  	10299	6439	Chrome with removeable center grid
Brass Concave Grid Drain With Overflow and L tailpiece	Bathroom Sink Drains	Grid Drain	With Overflow	All brass Sink or Lavatory Grid Drain with Overflow Holes and Offset tailpiece for wheelchair accessibility  	14198	6443	Chrome, with large center hole
Brass Concave Grid Drain no Overflow and L tailpiece	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	Sink or Lavatory Grid Drain Forged Brass face with concave design to prevent standing water. NO overflow with Offset Tailpiece  	10135	6444	Chrome
Brass Concave Grid Drain With Overflow and L tailpiece and removable center	Bathroom Sink Drains	Grid Drain	With Overflow, All Brass	All Brass Sink Drain Removable Center Grid Drain with overflow with offset tail piece for wheelchair access. 	10299	6439	Chrome
Brass Lift & Turn No Overflow	Bathroom Sink Drains	Lift and Turn	No Overflow, All Brass	All Brass, Lift and Turn Sink Drain NO overflow  	14042	6415	Chrome
Brass Lift & Turn No Overflow	Bathroom Sink Drains	Lift and Turn	No Overflow, All Brass	All Brass, Lift and Turn Sink Drain NO overflow  	14044	6415PBRPVD	Polished Brass
Brass Lift & Turn No Overflow	Bathroom Sink Drains	Lift and Turn	No Overflow, All Brass	All Brass, Lift and Turn Sink Drain NO overflow  	14046	6415SNPVD	Satin Nickel
Brass Lift & Turn No Overflow	Bathroom Sink Drains	Lift and Turn	No Overflow, All Brass	All Brass, Lift and Turn Sink Drain NO overflow  	14040	64151	Stopper
Brass Lift & Turn With Overflow	Bathroom Sink Drains	Lift and Turn	All Brass, With Overflow	All brass, Lift and Turn Sink Drain with overflow  	14043	6417	Chrome
Brass Lift & Turn With Overflow	Bathroom Sink Drains	Lift and Turn	All Brass, With Overflow	All brass, Lift and Turn Sink Drain with overflow  	14045	6417PBRPVD	Polished Brass
Brass Lift & Turn With Overflow	Bathroom Sink Drains	Lift and Turn	All Brass, With Overflow	All brass, Lift and Turn Sink Drain with overflow  	14047	6417SNPVD	Satin Nickel
Utility Sink Drain No Overflow	Bathroom Sink Drains	Grid Drain	No Overflow, All Brass	All brass, laundry room sink drain, plug assembly with stopper, no overflow.    	14185	COP130	Chrome
Utility Sink Drain With Overflow	Bathroom Sink Drains	Grid Drain	All Brass, With Overflow	All Brass, laundry room sink drain, plug assembly with stopper, with overflow.    	14186	POP131	Chrome
Grid Drain Escutcheon Kit	Bathroom Sink Accessories	Kit	Escutchon	Escutcheon Dress-Up Kit fits grid drains, and lift and turn drains. (Drain sold separately)  	14050	6400	Chrome
Grid Drain Escutcheon Kit	Bathroom Sink Accessories	Kit	Escutchon	Escutcheon Dress-Up Kit fits grid drains, and lift and turn drains. (Drain sold separately)  	14051	6400PVD	Polished Brass PVD
Grid Drain Escutcheon Kit	Bathroom Sink Accessories	Kit	Escutchon	Escutcheon Dress-Up Kit fits grid drains, and lift and turn drains. (Drain sold separately)  	14052	6400SNPVD	Satin Nickel PVD
Shank Extension Kit	Bathroom Sink Accessories	Kit	Pop Up, Grid Drain	Extension Kit for bathroom sink drains, extends the shank by 1 1/4 inches.    	10248	GDX6000	For Grid Drains, fits to OD
Shank Extension Kit	Bathroom Sink Accessories	Kit	Pop Up, Grid Drain	Extension Kit for bathroom sink drains, extends the shank by 1 1/4 inches.    	10290	GDX6010	For Grid Drains, Fits to ID
Shank Extension Kit	Bathroom Sink Accessories	Kit	Pop Up, Grid Drain	Extension Kit for bathroom sink drains, extends the shank by 1 1/4 inches.    	10291	630POPX	For Pop up Drains, fits to OD
Shank Extension Kit	Bathroom Sink Accessories	Kit	Pop Up, Grid Drain	Extension Kit for bathroom sink drains, extends the shank by 1 1/4 inches.    	80204	CGDX6000	Carded kit, for Grid Drains, fits to OD
Shank Extension Kit	Bathroom Sink Accessories	Kit	Pop Up, Grid Drain	Extension Kit for bathroom sink drains, extends the shank by 1 1/4 inches.    	80205	C630POPX	Carded kit, for Pop up Drains, fits to OD
Sink Drain Spacer	Bathroom Sink Accessories	Parts		Bathroom sink drain spacer for 600CL  	10287	600CL13	Spacer for 600CL
Thread Conversion Tailpiece	Bathroom Sink Accessories	Parts		"Brass tailpiece converts standard grid drain from 1 1/4"" x 1 1/2"".  6"" 17 Gauge.   "	20142	TP2550	Chrome
Decorative Drain Pipe Cover	Bathroom Sink Accessories, Glass Vessel Accessories	Parts		Polished Stainless Steel U-Shaped Decorative Cover for exposed pipes under commercial sinks  	14173	U8013	Polished Stainless Steel
Lift Rod Extension Kit	Bathroom Sink Accessories	Parts	Pop Up Assembly	"Lift Rod Extension (up to 7"")  "	10207	RX07	Chrome
Lift Rod Extension Kit	Bathroom Sink Accessories	Parts	Pop Up Assembly	"Lift Rod Extension (up to 7"")  "	80216	CRX07	Chrome (Carded)
3 Piece Popup Replacement Parts	Bathroom Sink Accessories	Parts	Pop Up Assembly	Parts for 6450 (chrome) and 6451 (Polished Brass) Series pop up drains  	10026	64501	Hardware kit
3 Piece Popup Replacement Parts	Bathroom Sink Accessories	Parts	Pop Up Assembly	Parts for 6450 (chrome) and 6451 (Polished Brass) Series pop up drains  	10065	64502	Plunger
3 Piece Popup Replacement Parts	Bathroom Sink Accessories	Parts	Pop Up Assembly	Parts for 6450 (chrome) and 6451 (Polished Brass) Series pop up drains  	10243	645003	Replacement gasket
3 Piece Popup Replacement Parts	Bathroom Sink Accessories	Parts	Pop Up Assembly	Parts for 6450 (chrome) and 6451 (Polished Brass) Series pop up drains  	10070	64508	Top Flange
3 Piece Popup Replacement Parts	Bathroom Sink Accessories	Parts	Pop Up Assembly	Parts for 6450 (chrome) and 6451 (Polished Brass) Series pop up drains  	10066	64512PBRPVD	Plunger (Polished Brass)
3 Piece Popup Replacement Parts	Bathroom Sink Accessories	Parts	Pop Up Assembly	Parts for 6450 (chrome) and 6451 (Polished Brass) Series pop up drains  	10176	64518PBR	Top Flange (Polished Brass)
Utility Sink Stopper	Bathroom Sink Accessories	Parts	Stopper	"Hollow Stopper 1-1/8"" with Ring, fits COP130, and POP131  "	20102	S81	Drain Stopper
Replacement Clicker Assembly	Bathroom Sink Accessories	Pop Up	Parts	"All Brass Push and Lock (clicker) Pop-Up Stopper Assembly Replacement (for 6800 Pop-Up Drain) 
"	10255	68001	Chrome
Replacement Clicker Assembly	Bathroom Sink Accessories	Pop Up	Parts	"All Brass Push and Lock (clicker) Pop-Up Stopper Assembly Replacement (for 6800 Pop-Up Drain) 
"	14240	68001SNPVD	Satin Nickel PVD
